frame,track_id,display_track_id,class_id,conf,x1,y1,x2,y2,x_m,y_m,team_id,homography_ok,kp_used,inlier_ratio,reproj_err,detector_ran,homography_state,ball_interpolated,pass_id,pass_role,pass_phase,departure_time,arrival_time,duration_s,outcome,notes,ball_source
1,14,14,2,0.8911855816841125,998.7462768554688,444.0424499511719,1031.470458984375,525.0101928710938,2303.944580078125,3387.748291015625,0,True,11,1.0,0.0,1,ok,0,,,,,,,,,
1,15,15,2,0.9167344570159912,1287.8951416015625,398.92474365234375,1305.8890380859375,472.0274963378906,2618.268798828125,2395.876220703125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
1,16,16,2,0.9177325963974,787.5661010742188,455.0408325195313,830.6821899414062,550.002685546875,2005.00830078125,3866.836669921875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
1,2001,1,3,0.868178129196167,794.1682739257812,499.1552429199219,847.67626953125,608.9791259765625,2452.836181640625,4391.8369140625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,-1,-1,0,0.3001776039600372,981.0,561.0,1017.0,597.0,2780.49609375,4118.22802734375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,tracker
2,2,2,1,0.940704584121704,1428.045166015625,441.0482482910156,1467.7496337890625,524.993408203125,3384.245849609375,2913.286376953125,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,1,1,2,0.8841570615768433,1303.4930419921875,542.1141967773438,1364.7886962890625,638.4714965820312,3719.338134765625,4160.3603515625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,3,3,2,0.9491859078407288,870.914306640625,573.9877319335938,924.881103515625,669.909912109375,2987.107421875,4789.58154296875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,4,4,2,0.930359423160553,1164.9473876953125,657.9127197265625,1202.7041015625,773.6171875,3977.380859375,5229.85888671875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,5,5,2,0.9320836067199708,431.8335876464844,419.8747863769531,460.76416015625,500.0248107910156,723.3892211914062,3746.384521484375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,6,6,2,0.9289340376853944,1194.910400390625,564.9883422851562,1230.888916015625,672.6978149414062,3626.85400390625,4539.06396484375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,7,7,2,0.8859188556671143,989.8623046875,516.933837890625,1030.5013427734375,607.1868896484375,2866.392333984375,4196.46923828125,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,8,8,2,0.955418050289154,694.8203125,577.955078125,746.1282348632812,677.008056640625,2677.982177734375,4989.52099609375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,9,9,2,0.936930775642395,1547.909912109375,503.9716796875,1585.7012939453125,587.9666137695312,3995.532470703125,3474.67578125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,10,10,2,0.9249210953712464,501.7409973144531,466.0628051757813,532.3851318359375,552.0067138671875,1379.6241455078125,4187.71923828125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,11,11,2,0.9079480171203612,1266.0189208984375,512.796142578125,1327.6268310546875,604.4295654296875,3473.511474609375,3898.00244140625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,14,14,2,0.9160767197608948,996.0746459960938,444.61077880859375,1032.8914794921875,523.22265625,2310.786376953125,3372.59814453125,0,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,15,15,2,0.9076438546180724,1284.0712890625,398.875,1304.3968505859375,471.81353759765625,2624.893310546875,2412.2880859375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,16,16,2,0.9367687702178956,788.3712158203125,454.8285217285156,826.6187744140625,548.9876708984375,2019.0279541015625,3861.616943359375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
2,2001,1,3,0.8871281147003174,798.6492919921875,498.00531005859375,846.7660522460938,607.94921875,2469.580078125,4379.60009765625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,-1,-1,0,1.0,1193.7870528085928,561.6546193282508,1226.7870528085928,594.6546193282508,,,-1,True,11,1.0,0.0,1,ok,1,,,,,,,,,spline
3,2,2,1,0.9343417286872864,1430.56005859375,440.1098327636719,1466.067626953125,524.0953979492188,3364.910888671875,2902.32763671875,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,2002,2,1,0.8018900752067566,1238.386474609375,281.3001708984375,1264.077392578125,334.96881103515625,1066.7181396484375,10.953217506408691,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,1,1,2,0.7632337212562561,1321.54345703125,544.5059814453125,1364.1876220703125,638.854736328125,3722.345947265625,4153.90966796875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,3,3,2,0.9491908550262452,871.5585327148438,573.9318237304688,923.2713623046876,669.1051635742188,2967.26953125,4780.55517578125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,4,4,2,0.932961106300354,1163.9739990234375,657.0948486328125,1201.9996337890625,772.3409423828125,3952.4970703125,5218.7314453125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,5,5,2,0.916263461112976,433.6156311035156,420.0025024414063,460.8836364746094,499.15179443359375,713.1939086914062,3734.50390625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,6,6,2,0.928244411945343,1193.9183349609375,564.9132080078125,1229.9193115234375,672.1607055664062,3605.513671875,4533.28173828125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,7,7,2,0.909195601940155,997.7675170898438,518.3690795898438,1033.6280517578125,606.9341430664062,2862.848388671875,4186.98095703125,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,8,8,2,0.9523345232009888,695.6171264648438,577.089111328125,751.0603637695312,677.9201049804688,2675.28759765625,4988.73828125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,9,9,2,0.93574720621109,1546.8560791015625,502.999267578125,1586.8057861328125,588.6410522460938,3981.4541015625,3480.9287109375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,10,10,2,0.9233816862106324,501.1956787109375,465.9666748046875,531.924560546875,551.9531860351562,1371.1488037109375,4185.06640625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,11,11,2,0.8540533781051636,1272.7689208984375,512.8944702148438,1334.55517578125,608.8605346679688,3495.01025390625,3930.349609375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,14,14,2,0.914444386959076,995.0447998046876,444.9450378417969,1032.5450439453125,522.0914916992188,2289.124267578125,3360.44287109375,0,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,15,15,2,0.9174853563308716,1282.134033203125,398.1930236816406,1304.645751953125,471.9013671875,2610.94189453125,2415.378173828125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,16,16,2,0.9255301356315612,789.0181274414062,454.9298706054688,825.8543701171875,548.8915405273438,2008.0118408203125,3859.202392578125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
3,2001,1,3,0.8874766826629639,802.68310546875,497.0906677246094,846.9454956054688,607.1192016601562,2456.468505859375,4367.96728515625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,-1,-1,0,0.4060190916061401,1268.0,553.0,1305.0,587.0,3357.9453125,3733.892822265625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,tracker
4,2,2,1,0.9111555218696594,1433.9744873046875,438.2724609375,1462.8905029296875,522.9747924804688,3375.002685546875,2884.74462890625,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,1,1,2,0.8978541493415833,1331.6591796875,545.0682373046875,1361.4400634765625,638.0609741210938,3736.7666015625,4130.2685546875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,3,3,2,0.9397328495979308,873.7794799804688,573.768310546875,920.229248046875,667.937255859375,2977.451416015625,4757.4052734375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,4,4,2,0.9309016466140748,1163.2685546875,655.9354248046875,1199.8814697265625,770.2304077148438,3948.816650390625,5186.65673828125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,5,5,2,0.9029368162155152,433.9968566894531,419.1785583496094,460.0343627929688,498.757568359375,741.0689086914062,3724.168701171875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,6,6,2,0.9304164052009584,1191.7508544921875,564.0203857421875,1227.740478515625,671.0565795898438,3607.4775390625,4511.14599609375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,7,7,2,0.9115377068519592,1006.3678588867188,517.993896484375,1038.93701171875,605.9714965820312,2891.23876953125,4160.1240234375,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,8,8,2,0.9386777281761168,696.3107299804688,577.3822631835938,755.8504638671875,678.6903076171875,2703.904541015625,4976.51318359375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,9,9,2,0.935863435268402,1544.4859619140625,501.8829956054688,1586.469482421875,588.724853515625,3986.80419921875,3473.959716796875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,10,10,2,0.91172456741333,500.8661193847656,465.0802612304688,530.8936157226562,551.046630859375,1390.8350830078125,4168.6923828125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,11,11,2,0.8830211162567139,1275.3553466796875,513.5123291015625,1341.30908203125,606.5449829101562,3506.79443359375,3893.34521484375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,14,14,2,0.911447286605835,993.6192626953124,444.9337463378906,1029.7777099609375,521.6550903320312,2306.589599609375,3351.182861328125,0,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,15,15,2,0.921068549156189,1278.194091796875,397.892333984375,1303.499755859375,471.09320068359375,2623.2197265625,2406.713623046875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,16,16,2,0.8912432789802551,788.9141845703125,454.1117248535156,822.35888671875,549.46923828125,2034.8106689453125,3857.8583984375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
4,2001,1,3,0.6653090715408325,807.3169555664062,496.6956787109375,845.9569091796875,605.962890625,2475.08203125,4344.74462890625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,-1,-1,0,0.8150998950004578,1278.0,546.0,1314.0,581.0,3393.10693359375,3665.970947265625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,tracker
5,2,2,1,0.920589566230774,1436.58154296875,436.9743957519531,1459.9005126953125,521.2073974609375,3419.99609375,2849.211181640625,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,2002,2,1,0.7752420902252197,1243.360595703125,280.1333923339844,1263.7347412109375,335.7602233886719,1137.036865234375,-6.844371795654297,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,1,1,2,0.912692129611969,1330.1109619140625,545.90625,1365.473876953125,635.6324462890625,3785.58837890625,4116.2265625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,3,3,2,0.9386096596717834,875.3788452148438,571.5695190429688,917.185791015625,666.1507568359375,2987.954833984375,4754.494140625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,4,4,2,0.9298647046089172,1162.4942626953125,655.5880126953125,1197.8834228515625,768.8512573242188,3994.876953125,5203.2880859375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,5,5,2,0.9038350582122804,431.8792419433594,418.9001159667969,459.8494567871094,498.65283203125,719.3328857421875,3715.703857421875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,6,6,2,0.9344901442527772,1189.751220703125,563.0220947265625,1225.7379150390625,669.9893798828125,3645.857666015625,4516.9677734375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,7,7,2,0.9288660883903505,1009.0220336914062,516.4213256835938,1045.8194580078125,604.9592895507812,2920.411376953125,4150.0576171875,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,8,8,2,0.9265649914741516,700.619384765625,578.9405517578125,757.6053466796875,679.6317138671875,2726.14794921875,4988.62548828125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,9,9,2,0.939079761505127,1543.0941162109375,501.5435180664063,1586.4124755859375,588.0515747070312,4058.694091796875,3465.03369140625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,10,10,2,0.919427752494812,500.1043701171875,464.079345703125,529.9376831054688,550.041748046875,1368.1033935546875,4154.9443359375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,11,11,2,0.8371715545654297,1298.7027587890625,514.4722290039062,1345.618408203125,599.1220703125,3550.341552734375,3814.108642578125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,14,14,2,0.9217321872711182,991.8739013671876,444.9169921875,1029.5625,522.2785034179688,2323.02685546875,3351.987060546875,0,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,15,15,2,0.9275792837142944,1275.51416015625,397.8033752441406,1301.1986083984375,470.8255920410156,2646.658203125,2385.4423828125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,16,16,2,0.9232213497161864,788.1618041992188,452.4181213378906,819.9509887695312,547.54345703125,2019.056640625,3837.000244140625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
5,2001,1,3,0.7638224959373474,810.852783203125,497.3190612792969,844.1961669921875,604.8966674804688,2480.286865234375,4337.21044921875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
6,-1,-1,0,0.8103819489479065,1284.0,545.0,1322.0,579.0,3389.50634765625,3640.906494140625,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,tracker
6,2,2,1,0.9147971868515016,1437.4925537109375,436.71875,1458.956298828125,522.9223022460938,3425.467529296875,2872.174072265625,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
6,1,1,2,0.929533839225769,1334.045166015625,545.615966796875,1368.872802734375,635.0692749023438,3777.298583984375,4106.12109375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
6,3,3,2,0.9312450885772704,877.68017578125,571.052001953125,916.7174072265624,665.8484497070312,2975.682373046875,4752.02392578125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
6,4,4,2,0.9252211451530457,1161.3870849609375,654.3675537109375,1197.818115234375,768.754638671875,3971.54052734375,5193.58154296875,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
6,5,5,2,0.8996456265449524,430.662841796875,418.9579772949219,459.9490356445313,498.1312561035156,706.6924438476562,3727.499267578125,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
6,6,6,2,0.9327650666236876,1188.991455078125,562.21728515625,1224.9970703125,669.219970703125,3625.698974609375,4509.0068359375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
6,7,7,2,0.9385669231414796,1009.6527099609376,516.0770263671875,1050.988037109375,603.4764404296875,2908.723876953125,4137.67333984375,1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
6,8,8,2,0.9084482789039612,704.7096557617188,581.8377685546875,758.380126953125,679.5249633789062,2718.106689453125,4987.04443359375,-1,True,11,1.0,0.0,1,ok,0,,,,,,,,,
